Year,Observed,Standardized_log_cpueC,Standardized_log_cpue1,Standardized_CPUE_GammaGAM,Standardized_CPUE_tweedieglm
2000,14475.696936183653,14642.048940653816,15759.487258733781,13742.767135332855,15500.617031651993
2001,10209.357690435263,10063.032563282388,11647.9117022236,13108.70041436646,9616.18192052883
2002,6581.955598371863,6773.80829025806,5805.59646049888,7326.859862785893,5908.396595791351
2003,9632.856368932586,9268.506804409313,7693.922944608031,8231.824174895699,9426.64733722027
2004,1471.854376545912,1454.0626331204805,2102.2537923749346,2341.027463549167,4280.1517571586255
2005,3868.6399296864197,3935.0124280668356,3366.447694903751,3790.202323895133,4064.511142759515
2006,11218.872171581379,9860.330934943095,10401.370851355008,10065.62018612837,9982.061936183198
2007,25441.952750802884,22469.674661932066,23047.331079602056,22963.6908004805,20210.259591749862
2008,26900.541623368026,22889.342998708922,23393.477003276323,20889.307863961443,27606.794128657453
2009,7887.702052318408,6080.619009269887,5548.0213105879,7772.652089565321,8102.790139158396
2010,5082.906027190937,4784.622378433212,5121.148964564436,5944.344999093608,8714.216438565942
2011,6686.283624700768,5229.772103525688,6667.292440305615,5892.543365474682,8901.765922307133
2012,9269.90420869747,9516.826886866194,8010.39609493267,9616.756186547453,7735.481366415028
2013,10080.297085284714,7630.618987692523,9604.52552614765,8301.656959890168,9848.37681388308
2014,30054.869976462145,28701.182965083186,29136.119411802018,38532.26603824877,25482.528556279958
2015,28472.609641298386,23236.572420453555,25968.6035572619,23992.8737299515,32194.12126050195
2016,2882.617703300585,2520.1257647771627,4457.494771117861,5915.868480429885,3734.358468844094
2017,9732.283523692424,9369.242732940722,5664.756757517214,6076.106777737779,7763.1597339240425
2018,5178.551061991957,3644.162075635214,3589.7585287129587,4263.161263262384,7006.010511112906
2019,4052.9533783063043,3848.992351534217,4868.951504980387,5746.895505579174,4897.43059248167
2020,7954.027394540119,6728.661732775812,5700.391187393422,6233.275654421498,7907.661258821587
